,Dates,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,Box_Score,OT?,Attend.,Notes
69,"Sun, Nov 10, 2019",9:00p,Atlanta Hawks,113,Portland Trail Blazers,124,Box Score,OT,"20,041",
70,"Sun, Nov 10, 2019",9:30p,Toronto Raptors,113,Los Angeles Lakers,104,Box Score,,"18,997",
71,"Mon, Nov 11, 2019",7:00p,Minnesota Timberwolves,120,Detroit Pistons,114,Box Score,,"12,526",
72,"Mon, Nov 11, 2019",7:30p,Dallas Mavericks,106,Boston Celtics,116,Box Score,,"18,624",
73,"Mon, Nov 11, 2019",7:30p,Memphis Grizzlies,113,San Antonio Spurs,109,Box Score,,"18,627",
74,"Mon, Nov 11, 2019",8:00p,Houston Rockets,122,New Orleans Pelicans,116,Box Score,,"16,695",
75,"Mon, Nov 11, 2019",10:30p,Utah Jazz,122,Golden State Warriors,108,Box Score,,"18,064",
76,"Mon, Nov 11, 2019",10:30p,Toronto Raptors,88,Los Angeles Clippers,98,Box Score,,"19,068",
77,"Tue, Nov 12, 2019",7:00p,Oklahoma City Thunder,85,Indiana Pacers,111,Box Score,,"15,838",
78,"Tue, Nov 12, 2019",7:00p,Cleveland Cavaliers,97,Philadelphia 76ers,98,Box Score,,"20,294",
79,"Tue, Nov 12, 2019",7:30p,Detroit Pistons,108,Miami Heat,117,Box Score,,"19,600",
80,"Tue, Nov 12, 2019",8:00p,New York Knicks,102,Chicago Bulls,120,Box Score,,"18,668",
81,"Tue, Nov 12, 2019",9:00p,Atlanta Hawks,125,Denver Nuggets,121,Box Score,,"18,327",
82,"Tue, Nov 12, 2019",9:00p,Los Angeles Lakers,123,Phoenix Suns,115,Box Score,,"18,055",
83,"Tue, Nov 12, 2019",9:00p,Brooklyn Nets,114,Utah Jazz,119,Box Score,,"18,306",
84,"Tue, Nov 12, 2019",10:00p,Portland Trail Blazers,99,Sacramento Kings,107,Box Score,,"16,358",
85,"Wed, Nov 13, 2019",7:00p,Memphis Grizzlies,119,Charlotte Hornets,117,Box Score,,"13,155",
86,"Wed, Nov 13, 2019",7:00p,Philadelphia 76ers,97,Orlando Magic,112,Box Score,,"15,113",
